R3,16.31,-7.49,90.00,0,CPF0201D7K68C1_0201
R4,5.93,-8.97,90.00,0,ERA-1AEB3401C_0201
R5,-12.08,-11.95,90.00,10k,CPF0201D7K68C1_0201
R7,9.02,-11.79,180.00,10k,CPF0201D7K68C1_0201
R8,-1.18,-12.27,90.00,10k,CPF0201D7K68C1_0201
R9,2.95,-1.64,90.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,-18.04,-10.76,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-9.32,3.50,90.00,2.2,ERA-1AEB3401C_0201
SJ1,-8.57,1.94,0.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.96,-14.00,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.08,-14.03,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-10.94,-13.99,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-16.68,-15.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-5.56,-15.49,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,15.56,-15.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-20.11,-13.14,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,18.33,-14.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,21.09,-12.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,-21.26,8.73,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,6.76,-15.55,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,4.06,-15.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,20.86,4.16,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,21.28,0.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,21.50,-1.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,21.32,-9.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,6.67,-3.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,12.28,2.27,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,20.41,-5.24,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,19.00,8.88,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,5.54,3.43,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
